URL,Title,TitleLength,Description,DescriptionLength,Canonical,H1,JSONLD,Images,AltErrors,Robots,Lang,OGTitle,OGDescription,OGUrl,OGImage,TwitterCard,Status
/blog/adaptaciya-k-detskomu-sadu/,Как помочь адаптироваться ребенку в детском саду,48,Стоит ли отдавать ребенка в детский сад? В какой момент лучше начинать ходить сад? И как помочь ребенку в адаптации в детском саду?,131,✓,1,1,11,0,"index, follow",ru,Как помочь адаптироваться ребенку в детском саду,Стоит ли отдавать ребенка в детский сад? В какой момент лучше начинать ходить сад? И как помочь ребенку в адаптации в детском саду?,https://aibolit70.ru/blog/adaptaciya-k-detskomu-sadu/,https://aibolit70.ru/assets/img/post5.jpg,summary_large_image,OK
/blog/detskii-lor-vrach-na-dom/,Детский ЛОР врач на дом В Томске,32,"Наши врачи-специалисты оказывают на дому квалифицированную медицинскую помощь, обеспечивая высочайший уровень диагностики,лечения, сопровождения и реабилитации наших маленьких пациентов.",186,✓,1,1,9,0,"index, follow",ru,Детский ЛОР врач на дом В Томске,"Наши врачи-специалисты оказывают на дому квалифицированную медицинскую помощь, обеспечивая высочайший уровень диагностики,лечения, сопровождения и реабилитации наших маленьких пациентов.",https://aibolit70.ru/blog/detskii-lor-vrach-na-dom/,https://aibolit70.ru/assets/img/post7-1.jpg,summary_large_image,WARNING
/blog/detskij-hirurg-na-dom/,Вызов детского хирурга на дом Томск. Медицинская помощь на дому в Айболит,73,"Хирург занимается диагностикой, и лечением заболеваний, пороков и аномалий развития, требующих оперативного хирургического вмешательства,  у детей и подростков.",160,✓,1,1,10,0,"index, follow",ru,Вызов детского хирурга на дом Томск. Медицинская помощь на дому в Айболит,"Хирург занимается диагностикой, и лечением заболеваний, пороков и аномалий развития, требующих оперативного хирургического вмешательства,  у детей и подростков.",https://aibolit70.ru/blog/detskij-hirurg-na-dom/,https://aibolit70.ru/assets/img/uslugi1.jpg,summary_large_image,WARNING
/blog/detskij-nevrolog-na-dom/,Детский невролог на дом Томск,29,"Детский врач-невролог занимается диагностикой, лечением и профилактикой заболеваний, функциональных нарушений и аномалий развития периферической (нервные волокна) и центральной нервной системы (головной и спинной мозг) ребенка.",227,✓,1,1,9,0,"index, follow",ru,Детский невролог на дом Томск,"Детский врач-невролог занимается диагностикой, лечением и профилактикой заболеваний, функциональных нарушений и аномалий развития периферической (нервные волокна) и центральной нервной системы (головной и спинной мозг) ребенка.",https://aibolit70.ru/blog/detskij-nevrolog-na-dom/,https://aibolit70.ru/assets/img/post1-2.jpg,summary_large_image,WARNING
/blog/,Блог | Айболит-детская медицинская служба,41,"Блог детской медицинской службы «Айболит»: здоровье детей, вакцинация, уход за ребёнком, советы педиатров и полезная информация для родителей.",142,✓,1,1,11,0,"index, follow",ru,Блог | Айболит-детская медицинская служба,"Блог детской медицинской службы «Айболит»: здоровье детей, вакцинация, уход за ребёнком, советы педиатров и полезная информация для родителей.",https://aibolit70.ru/blog/,https://aibolit70.ru/assets/img/aibolit.png,summary_large_image,OK
/blog/kak-pomoch-rebenku-perenesti-jaru/,Как помочь ребенку перенести жару. Солнечный и тепловой удар у детей,68,"Солнечный и тепловой удар у детей – понятия сходные. Особую группу риска составляют малыши от 0 до 3х лет, ведь их организм еще не умеет в должной степени регулировать температуру.",180,✓,1,1,8,0,"index, follow",ru,Как помочь ребенку перенести жару. Солнечный и тепловой удар у детей,"Солнечный и тепловой удар у детей – понятия сходные. Особую группу риска составляют малыши от 0 до 3х лет, ведь их организм еще не умеет в должной степени регулировать температуру.",https://aibolit70.ru/blog/kak-pomoch-rebenku-perenesti-jaru/,https://aibolit70.ru/assets/img/post6-1.jpg,summary_large_image,WARNING
/blog/kalendar-vakcinacija/,Календарь вакцинации детей,26,"Вакцинация детей в возрасте до 18 лет, согласно действующему национальному календарю профилактических прививок и календарю профилактических прививок по эпидпоказаниям",166,✓,1,1,7,0,"index, follow",ru,Календарь вакцинации детей,"Вакцинация детей в возрасте до 18 лет, согласно действующему национальному календарю профилактических прививок и календарю профилактических прививок по эпидпоказаниям",https://aibolit70.ru/blog/kalendar-vakcinacija/,https://aibolit70.ru/assets/img/kalendar_vakcinaci.jpg,summary_large_image,WARNING
/blog/kompleksnyj-osmotr-rebenka-na-domu/,Чек-ап детский на дому,22,Скрининговые медицинские осмотры детей – основа профилактического направления педиатрии.,88,✓,1,1,7,0,"index, follow",ru,Чек-ап детский на дому,Скрининговые медицинские осмотры детей – основа профилактического направления педиатрии.,https://aibolit70.ru/blog/kompleksnyj-osmotr-rebenka-na-domu/,https://aibolit70.ru/assets/img/reklama-3.jpg,summary_large_image,WARNING
/blog/patronaj-novorojdennogo/,Патронаж новорожденного ребёнка Томск,37,"Патронаж новорожденных в Айболит медицинской службе – это внимательное, доброжелательное отношение, высокий профессионализм врачей, индивидуальный подход к каждому ребенку.",172,✓,1,1,9,0,"index, follow",ru,Патронаж новорожденного ребёнка Томск,"Патронаж новорожденных в Айболит медицинской службе – это внимательное, доброжелательное отношение, высокий профессионализм врачей, индивидуальный подход к каждому ребенку.",https://aibolit70.ru/blog/patronaj-novorojdennogo/,https://aibolit70.ru/assets/img/post1.jpg,summary_large_image,WARNING
/blog/pentaksim/,ПЕНТАКСИМ -комбинированная вакцина для профилактики пяти опасных детских заболеваний,84,"«ПЕНТАКСИМ» — прививка от дифтерии, столбняка, коклюша, полиомиелита",68,✓,1,1,7,0,"index, follow",ru,ПЕНТАКСИМ -комбинированная вакцина для профилактики пяти опасных детских заболеваний,"«ПЕНТАКСИМ» — прививка от дифтерии, столбняка, коклюша, полиомиелита",https://aibolit70.ru/blog/pentaksim/,https://aibolit70.ru/assets/img/detskii_vrach_rebenok.jpg,summary_large_image,WARNING
/blog/sovetov-vracha-allergologa/,Советы врача-аллерголога,24,Аллергия у детей — это неадекватная реакция иммунной системы на безвредные для большинства вещества.,100,✓,1,1,7,0,"index, follow",ru,Советы врача-аллерголога,Аллергия у детей — это неадекватная реакция иммунной системы на безвредные для большинства вещества.,https://aibolit70.ru/blog/sovetov-vracha-allergologa/,https://aibolit70.ru/assets/img/pentaksim.jpg,summary_large_image,WARNING
